area,broker,community,features,floor,image_urls,model,phones,position,price,release_time,subway,title 
98平米,邓龙超,曲江千林郡,,低楼层 (共18层),"https://image1.ljcdn.com/610100-inspection/2d2c0b9e-d098-4b07-9402-38348f4cc9ca.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/acbfb6f3-abae-4392-ab3b-61c44bd7c498.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/1500bcde-1e98-4a4a-9648-8f285157ba32.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/8601cdaa-36a8-4fc7-9839-05da13b6a008.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/5fc2e547-cf39-4750-9829-f0b178623d11.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/d12e81f6-da33-41f7-97f9-e5203fcf5e51.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/26d52d7e-b877-4052-9967-c96f8fad330f.jpg.600x450.jpg",2室2厅1卫  ,"<div class=""phone"">
              4008959290
                              <span>转</span>
                3673
                          </div>",雁塔,"<span class=""total"">2600</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",73天前发布,暂无数据,"<h1 class=""main"">曲江千林郡 2室2厅 2600元</h1>"
108平米,曾昱翔,海荣雅庭花园,"<span class=""text"">地铁：地铁2号线凤城五路站，在建地铁4号线文景路站 公交：601、600、266、108、701、117等多条公交路线。</span>,<span class=""text"">公园：城市运动公园 银行：中国工商银行、中国农业银行、中国华夏银行、光大银行 购物：汉神购物商城、熙地港、世纪金花、赛高广场</span>,<span class=""text"">此房所在小区是海荣集团在2006年建成交房，小区的物业是北斗物业，小区人车分流。小区居住的业主多数是老师或者陪读的人群，小区环境整体比较安静，比较有书生意气</span>",高楼层 (共11层),"https://image1.ljcdn.com/610100-inspection/665c11e7-48f1-4b7a-9e14-e2d31db2fa65.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/4ee17ec9-6a6f-4482-8c28-6cafecaf8195.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/2fde437d-e1cb-491a-8b87-63d7e3c0d9da.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/a3626542-3dba-40c9-bab7-a057b4f5e89d.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/b84b4d62-4dbf-43a6-8dc6-60cedd7a049b.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/5ac399dd-5c8e-4c79-9646-67cbcf542be1.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/7bdc1d26-00cf-4e49-8067-a76dbe3b1687.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/8801089a-5780-472c-9c99-118a9f171863.png.600x.png.600x450.jpg",3室2厅1卫  整租,"<div class=""phone"">
              4008599667
                              <span>转</span>
                1395
                          </div>",未央,"<span class=""total"">2500</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>,<span class=""tips decoration"">精装修</span>",73天前发布,距地铁2号线行政中心959米,"<h1 class=""main"">雅庭花园精装三居室，业主诚心出租，近地铁</h1>"
101.97平米,曾昱翔,雅荷南李鑫苑,"<span class=""text"">熙地港，世纪金花，人人乐，赛高街区，西安中，购物生活都比较方便</span>,<span class=""text"">距离二号线凤城五路路口入口645米，出行相对方便，230，318，509，711，609，207公交站</span>,<span class=""text"">房子为业主自主装修，家具家电齐全，一个卧室和客厅有空调，冰箱洗衣机都带。</span>",高楼层 (共28层),"https://image1.ljcdn.com/610100-inspection/476d545a-6133-43bb-996d-9bfba50f72ae.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/00472d07-09b3-4b6e-a466-857de344a43c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/84311c39-0bf2-4165-9f75-4ea03222a60d.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/750be56c-9785-46aa-8acf-82dea9a89248.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/9f8314a0-baab-4d78-bd44-20615a434b27.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/77153292-54bf-4af5-9fcf-d7050363485b.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/bd699a53-25c2-4042-a1c5-b9b6faf840d5.jpg.600x450.jpg",2室2厅1卫  ,"<div class=""phone"">
              4008599667
                              <span>转</span>
                1395
                          </div>",未央,"<span class=""total"">2500</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",58天前发布,距地铁2号线凤城五路608米,"<h1 class=""main"">雅荷南李鑫苑2居家电全配，看房提前联系</h1>"
98平米,栾根基,华远海蓝城一期,"<span class=""text"">业主空置，，，，，，，，，，，，，，，，，，，，，，，，，，</span>,<span class=""text"">交通便利，距地铁三号线辛家庙站一公里（数据来自百度地图），距地铁三号线广泰门站936米（数据来自百度地图），距辛家庙公家枢纽站1000米</span>,<span class=""text"">人人乐超市，华润万家超市，易初莲花超市，医院有强森社区医疗，西京医院，唐城医院，黄河医院，申通快递，信报箱，快递柜，健身设施，儿童游乐场</span>,<span class=""text"">门口有安保，门禁，小区内有监控。人文素养高，小区开发商为西安唐明宫置业有限公司，物业为北京圣瑞物业集团股份有限公司。小区内设有健身设施，儿童游乐设施</span>,<span class=""text"">小区距地铁三号线辛家庙地铁站一公里（数据来自百度地图），交通出行便利，环境整洁</span>",低楼层 (共16层),"https://image1.ljcdn.com/110000-inspection/rsp_pic_uploada9edc267-9d54-468b-a60c-70bbf561c030.jpg.600x450.jpg,https://image1.ljcdn.com/110000-inspection/rsp_pic_uploadfb5a3428-c61d-445d-abce-83d33c1c67b7.jpg.600x450.jpg,https://image1.ljcdn.com/110000-inspection/rsp_pic_upload1d6ce4e1-9342-44f8-a1c2-7e5cc1d06b7b.jpg.600x450.jpg,https://image1.ljcdn.com/110000-inspection/rsp_pic_upload2a5feb8f-b4be-433c-9e8b-6653fabcbb32.jpg.600x450.jpg,https://image1.ljcdn.com/110000-inspection/rsp_pic_upload52a78b64-bab3-4ffe-a567-3b60d97bbbb5.jpg.600x450.jpg,https://image1.ljcdn.com/110000-inspection/rsp_pic_upload838ae6a4-e635-4af1-a848-1bf57eac1a07.jpg.600x450.jpg,https://image1.ljcdn.com/110000-inspection/rsp_pic_upload1bf97f3c-4e96-4c6d-9139-6205dc84a9d3.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/hdic-frame/30a24672-a133-4a6d-a903-2ea935241dd4.png.600x450.jpg",3室2厅1卫  整租,"<div class=""phone"">
              4008959725
                              <span>转</span>
                6830
                          </div>",未央,"<span class=""total"">2600</span>,<span class=""unit"">
        <span>元/月</span>
      </span>,<span class=""tips decoration"">简单装修</span>",73天前发布,距地铁3号线辛家庙838米,"<h1 class=""main"">环境好，配套完善，地铁口房，拎包入住</h1>"
37平米,井杰,科达东御兰汀,"<span class=""text"">休闲娱乐：大明宫遗址公园；配套：商铺、幼儿园、社区医疗。小区配套：社区双会所、社区幼儿园、5万平米商。 银行：中国工商银行，公园：大明宫遗址公园</span>,<span class=""text"">公交线路：16路、27路、28路、241路、二环1/2号线、406路、410路、262路、315路、230路、47路、48路、604路、227路等近20条公交线路石家街站下车。地铁：地铁三号线 石家街站</span>,<span class=""text"">科达·东御兰汀迎世园会风潮崛起于浐灞门户，总占地200亩，建筑面积为60万平米，由27栋高层和小高层组成，面积62-126平米，成为刷新东城的具有划时代意义的优尚人文社区，项目整体打造集合酒店奢华雍容，主题、幼儿园、双会所等多物业</span>",高楼层 (共32层),,1室0厅0卫  ,"<div class=""phone"">
              4008605299
                              <span>转</span>
                8218
                          </div>",灞桥,"<span class=""total"">800</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",76天前发布,距地铁3号线石家街520米,"<h1 class=""main"">一室毛坯，价格便宜适合放东西居住</h1>"
104平米,孙亚花,恒大御景,"<span class=""text"">66路、306路、252路、270路、124路、149路、111路、112路、130路、163路、170路、208路、240路、312路、393路</span>,<span class=""text"">沃尔玛(前进店)、恒客隆超市、欧亚超市、新天地超市、远方超市   医院：北京同仁眼科医院、前卫医院、长春长飞医院
市机关幼儿园、长春市26zhong学、吉林大学、长春工业大学、长春理工大学、长春大学、师大fu中、省实验zhong学  </span>,<span class=""text"">恒大御景项目位于长春市南关区幸福街以东、丙十路以南、丙十二路以西、乙二路以北，位于南关区，隶属于南部新城板块，自然环境优越，是长春市的宜居之地。</span>",高楼层 (共36层),"https://image1.ljcdn.com/610100-inspection/2e2d9db0-175e-4fd8-9f86-c3d7b957c9e2.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/36958dc7-16b8-4059-b9f8-401cc29396f8.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/ed79f290-61c2-4589-a49b-7c4700726f8c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/ff4b6681-fb73-4e77-997d-6d37f531977b.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/07fb9866-54e6-413f-b950-56d39095a5fe.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/32daa28f-4d40-4e46-a4b2-adbf2dc89fe9.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/9342ab10-7881-46fe-a15a-7d2aadc18ef9.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/0eb1b4c5-0078-4ad1-9a90-820ae6e96a3e.jpg.600x450.jpg",3室2厅1卫  ,"<div class=""phone"">
              4008600767
                              <span>转</span>
                6801
                          </div>",灞桥,"<span class=""total"">2500</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",74天前发布,暂无数据,"<h1 class=""main"">采光好   环境优美  业主诚意出租</h1>"
81平米,马首恒,华阳玲珑苑,"<span class=""text"">此房   毛坯                                                         .</span>,<span class=""text"">位于西安市东大门纺织城区域，长乐东路东段与纺渭路交界处西北角。距离地铁1号线、城东客运站仅150米之遥，项目双面临路，南侧城市主干道长乐东路，东侧区域主干道纺渭路，西侧柳鸣路。</span>,<span class=""text"">距离地铁1号线、6号线、9号线、城东客运站仅150米                               .</span>",高楼层 (共33层),"https://image1.ljcdn.com/610100-inspection/27f0c6d1-9e7c-4384-be09-7a943e075d00.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/6bab2d50-11b7-4589-b824-14c3fb29609e.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/bfceded4-1f10-4d68-9d08-f55dc1ce060e.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/a87909d1-d873-4a45-ac4d-f3baec2be57b.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/55f9d343-9941-4412-a8fa-fcdaca236226.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/a1bd54d0-9a7a-40b0-bb61-d052c34d6b63.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/498f870d-c26e-4a2c-a9f2-b739c3146da6.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/56859842-d422-4e41-a7a2-af51660e0e65.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/71fb26a8-2b72-46f1-a4ee-e835631c49a6.jpg.600x450.jpg",2室1厅1卫  ,"<div class=""phone"">
              4008679576
                              <span>转</span>
                4921
                          </div>",灞桥,"<span class=""total"">700</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>,<span class=""tips decoration"">毛坯装修</span>",108天前发布,距地铁1号线纺织城587米,"<h1 class=""main"">华阳玲玲苑   毛坯   诚心出租 .</h1>"
90平米,刘安,御锦城鹭湾,"<span class=""text"">中层位置，毛坯房，风景优美，有休闲娱乐设施，房屋南北通透，阳光充足</span>,<span class=""text"">配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻 有建设，西安，工商，邮政，民生五大银行，唐都医院坐落于水岸东方东边，而且还有华润万家大型购物商场，让您生活无限便捷</span>,<span class=""text"">小黄车，地铁一号线A2出口，小区内公交256.401.浐灞3号线。小区外公交车更多东西南北均可抵达。</span>",中楼层 (共34层),,2室1厅1卫  ,"<div class=""phone"">
              4008959756
                              <span>转</span>
                8251
                          </div>",灞桥,"<span class=""total"">700</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",248天前发布,暂无数据,"<h1 class=""main"">御锦城二期毛坯房，价格便宜，可谈</h1>"
96平米,李晓,紫郡观澜,"<span class=""text"">小区地处西安市空气质量优良区，35%的立体化率，生活起居健康舒畅。富含矿物质的地热温泉，保障了您的沐浴及生活用水，并让您在冬天里的日子里不在寒冷。
</span>,<span class=""text"">商场：华清商场、宏坤百货、华润万家 医院：十里铺骨科医院、华清医院、陕汽第二职工医院 邮局：中国邮政银行：中国信合、农业银行、邮政储蓄、工商银行、建设银行、招商银行 其他：吉祥商贸小区 内部配套：幼儿园、小 学、超市、餐厅、诊所、商务会所</span>,<span class=""text"">交通：金裕青青家园站： 20、20区、 48、230、519、604、707、 709；周家坡站：709；周家坡村站：230</span>",中楼层 (共15层),"https://image1.ljcdn.com/610100-inspection/744fdef6-6e82-41ca-9bc3-63644bd39886.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/b20cc39f-1492-4d56-98f7-68ed3ab2c63f.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/e2e7504d-9744-4501-a600-78e0b65db6d5.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/2b0af40f-0a21-430c-8e34-75795145d8af.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c5945d0f-3f83-48af-92e3-47e8515a9e6c.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/91ca63aa-7ffb-4336-9c22-984781195906.jpg.600x450.jpg",2室1厅1卫  整租,"<div class=""phone"">
              4008679076
                              <span>转</span>
                5418
                          </div>",灞桥,"<span class=""total"">800</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>,<span class=""tips decoration"">毛坯装修</span>",94天前发布,暂无数据,"<h1 class=""main"">毛坯出租 价格实惠 小区配套齐全 出行便利</h1>"
98平米,宋国锋,曲江城市花园,"<span class=""text"">小区地址：曲江新区曲江新区芙蓉西路6号 开 发 商：西安合能房地产有限公司 供 水：市政供水 供 暖：供暖方式为市政集中供暖，分户计量。 供 电：居民用电 燃 气：天然气入户 通讯设备：电视、光纤、 宽带： 提供接口</span>,<span class=""text"">189路公交至曲江城市花园站下车即到；224、161、504路公交至芙蓉南路西口站下车，沿芙蓉西路向南步行490米即到；715路公交至曲江池南路西口站下车，沿芙蓉西路向南步行380米即到； 地铁4号线在建预计2018年年底通车。</span>,<span class=""text"">商场：华润万家，大型购物超市家乐、麦德龙、好又多量贩超市 医院：西北妇女儿童医院、交大一附院、同济医院、解放军三十五医院 银行：中国建设银行，交通银行 ，招商银行、光大银行 其他：休闲：大唐不夜城、大雁塔北广场、以及大唐芙蓉园、
</span>",中楼层 (共20层),"https://image1.ljcdn.com/610100-inspection/test-15b1e419-0904-4a93-9095-ab3c48985f5b.png.600x450.jpg,https://image1.ljcdn.com/610100-inspection/test-feb0fa43-bf0c-4eb7-8087-dcf3f9612bb5.png.600x450.jpg,https://image1.ljcdn.com/610100-inspection/test-fa7cf785-e7ba-48ca-a90c-c9b71ff15183.png.600x450.jpg,https://image1.ljcdn.com/610100-inspection/test-581bec1b-cfea-4a91-a313-1fe5dd845001.png.600x450.jpg,https://image1.ljcdn.com/610100-inspection/test-aa76da30-7c06-492e-a8dc-a4503733679f.png.600x450.jpg,https://image1.ljcdn.com/610100-inspection/test-73d102b7-1154-4b94-9f69-4e36c68cd2c7.png.600x450.jpg,https://image1.ljcdn.com/610100-inspection/test-6fd22fbb-a59d-4565-ac67-fb2f3698eda6.png.600x450.jpg,https://image1.ljcdn.com/x-se/hdic-frame/test-2998f314-9895-41b0-b51f-d2cfe1f168fd.png.600x450.jpg",2室1厅1卫  ,"<div class=""phone"">
              4008056926
                              <span>转</span>
                5153
                          </div>",雁塔,"<span class=""total"">2500</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",99天前发布,暂无数据,"<h1 class=""main"">曲江城市花园  中装两居  南北通透  配套成熟</h1>"
89.62平米,李冬,旭景碧泽园,"<span class=""text"">商场：人人乐、华润万家 、卜蜂莲花唐延店、高科花园自选广场、安可便利店、松林便利易初莲花、世纪金花、金鹰国际医院：高新医院、土门军工医院 、西安辉明中医门诊部、西晶门诊部、高新医院、日化医院邮局：鱼斗路邮电所银行：招商银行、中国银行</span>,<span class=""text"">旭景碧泽园是2005年的社区，开 发 商：西安市星火房地产开发公司。物业费1.2元 车位配比 0.4，目前小区内部设有停车场，容纳率在40%，本小区都可以租用，保安24小时值班，安全有保证。</span>,<span class=""text"">
小区南邻大寨路，西邻丈八北路，交通方便，公交站就在小区南门往西五十米，现在地铁三号线未来地铁五号线就在小区南北两边</span>",低楼层 (共12层),"https://image1.ljcdn.com/610100-inspection/28255d8c-cb43-4ced-a26b-6abbc1889bee.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/291ff76b-a4b3-4006-b641-760466f1c4cc.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/5479ab06-7ce9-4dd0-9c28-147b5f51943e.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/b8d5a2af-5979-421e-894d-964981d8257c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/94e57fa7-e9f3-4695-92a4-4aad11b56bb4.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/6f371151-4d1c-4f57-bee4-f1c9644a04ef.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/806d559c-c97e-4060-a05a-a2610b9df5a1.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/e9986fbb-c7ff-41a2-b272-196d71f32780.jpg.600x450.jpg",2室2厅1卫  ,"<div class=""phone"">
              4008297606
                              <span>转</span>
                9262
                          </div>",雁塔,"<span class=""total"">2600</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",73天前发布,暂无数据,"<h1 class=""main"">大寨路 旭景碧泽园  成熟小区  拎包入住</h1>"
104平米 (套内94平米),蒋潇,田园公寓,"<span class=""text"">紫薇田园都市位于西安市高新技术产业开发区新型工业园内，紫薇田园都市，住宅项目规划分为10个区，总占地面积2200亩，规划总建筑面积达180万平方米，是当时西北地区很大规模的大盘社区，紫薇物业管理有限公司，管理严格有序，确保安全和小区品质。</span>,<span class=""text"">交通便利，小区门口不到50米就有公交站点，自驾不拥堵，出行比较方便。</span>,<span class=""text"">小区配套齐全，交通便利，大型购物商场阳光天地，高新医院、521医院、交通大学附属医院。五大行都设有网点。小区中 心有占地80亩的中 心广场，可供休闲娱乐。</span>",高楼层 (共23层),"https://image1.ljcdn.com/610100-inspection/c256e565-f5ae-406d-a2a9-02cdc6e942af.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/4b0a2283-75f7-4e38-8f13-58aafc618021.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/ed331569-225d-47f7-b322-d039546738c7.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/5030675e-3ef1-4ee2-8ed4-3b9e319749e4.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/e48dca09-cc73-4b0f-96f8-d6d589f3a5e0.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/3965655e-a9f4-44b4-8846-4850dfc3e575.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/de9c7ad4-dee4-4815-8e69-4907e81d74f4.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/1b15f70a-f0b3-4d73-8ddd-38be1b6b9924.jpg.600x450.jpg",2室2厅2卫  整租,"<div class=""phone"">
              4008259606
                              <span>转</span>
                3216
                          </div>",长安,"<span class=""total"">2500</span>,<span class=""unit"">
        <span>元/月</span>
      </span>,<span class=""tips decoration"">简单装修</span>",73天前发布,暂无数据,"<h1 class=""main"">紫薇田园都市  田园公寓  干净卫生两居室</h1>"
70平米,刘帅,莱安逸境,"<span class=""text"">此房业主婚房装修，家具家电保持的很好，房间干净，直接拎包入住</span>,<span class=""text"">【配套】：医疗：楼下有怡康药店，与高新三甲医院距离3公里左右，还有日化医院、庆安医院、军工医院 超市：楼下有华润万家超市和莱安逸街，茶馆，健身会，；往南一公里有永辉超市和卜蜂莲花超市。 银行：光大银行，建设银行，等</span>,<span class=""text"">【交通出行】：【交通出行】：本小区位于唐延路和二环南路西段的交汇处，距离3号线延平门站1.1公里，小区附件公交站牌众多，出行便利，小区旁正在建设5号线。</span>",高楼层 (共32层),"https://image1.ljcdn.com/610100-inspection/49b974f1-0cd6-417c-bf2c-2fe409056edc.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c13a5999-e7ad-4a67-bb1f-f698dcff9d97.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/ad71ffed-d282-4df4-9a71-ca4c1e35e88c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/46018aeb-0f0f-42a1-bfa8-9aa1e3e4a04b.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/b7385e10-39a4-413f-9e6e-e5eca20aae49.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/ed58040c-8340-48b5-acd8-2390d16932fb.png.600x450.jpg",2室1厅1卫  ,"<div class=""phone"">
              4008955205
                              <span>转</span>
                1648
                          </div>",雁塔,"<span class=""total"">2600</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>",98天前发布,暂无数据,"<h1 class=""main"">高新区 唐延路 莱安逸境 精装婚房 2800一个月</h1>"
174平米,孙亚花,枫林九溪,,高楼层 (共9层),"https://image1.ljcdn.com/610100-inspection/db6846ba-9f05-4f41-9280-5771eefa267c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/24b2c99b-c01b-4d16-8a40-55140d87953f.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/3694d665-a557-4d94-a018-aa2d83f6f051.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/5482c831-4788-40cd-9b3e-140dae2a0d84.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/1467ab94-c593-42df-8bd1-5b1e3fd0723c.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/f0a5b495-35df-4ce6-be57-994dcd9a7b78.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c479c21e-2adc-44d0-a3e1-7ddea64e6e48.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/15de8d0f-f261-435d-bfd6-ef4829d03482.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/83f7d703-9d0b-42c9-9405-bb7f2d866dbc.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/07f896dc-1c66-4106-b249-c34776e059be.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/767efcbc-dd8d-42b3-8ec1-7a79dbd8f8b1.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/3c96d86a-b9d1-44a8-9894-e234ee935a49.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/b606dea2-3008-4f92-a822-170df1581200.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/7d0f5218-5d53-4af8-beaf-a4dd1756aaa8.jpg.600x450.jpg",4室2厅3卫  ,"<div class=""phone"">
              4008600767
                              <span>转</span>
                6801
                          </div>",灞桥,"<span class=""total"">800</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",6天前发布,暂无数据,"<h1 class=""main"">枫林九溪 4室2厅 800元</h1>"
158平米,焦瑞翔,华清园,"<span class=""text"">综合商超：李家堡购物街，万家和购物商场， 鑫源社区超市,　怡康医药超市,　永兴福便利超市,　康馨超市,　家和超市金裕分店。 医 院： 西安灞桥王端本诊所 ，陕西中医脑病医院， 银行： 中国邮政银行，陕西信合。</span>,<span class=""text"">小区地处西安市空气质量优良区，35%的立体化率，生活起居健康舒畅。富含矿物质的地热温泉，保障了您的沐浴及生活用水，并让您在冬天里的日子里不在寒冷。</span>,<span class=""text"">公交主要有：20路区间、230区间、48； 地铁三号线：广泰门站，桃花潭站</span>",中楼层 (共7层),"https://image1.ljcdn.com/610100-inspection/rsp_pic_upload9e825f1f-ffe7-4314-947c-26abf2293f36.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload859a3537-ad6c-496a-a5ed-150c5e489e47.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload8ccf84ae-9379-4e3a-b19d-3e4dcf43d237.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload51ff2335-e630-485f-af91-018e7453f904.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload4202672b-0b00-4d76-9546-796c2bba71a5.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload3c958150-db44-4665-83f3-f98ef5d9e609.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload4ff623cb-5a16-4040-a1e2-ed1cfd9f8c97.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload2efc9569-9cc0-4930-8436-86088224115d.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/rsp_pic_upload2ace97a9-0cea-4f56-aff0-737c4d044fc8.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/hdic-frame/2f5f4c2f-2de4-4335-a38c-a1e0d3ac88ee.png.600x450.jpg",4室2厅2卫  ,"<div class=""phone"">
              4008600659
                              <span>转</span>
                2992
                          </div>",灞桥,"<span class=""total"">800</span>,<span class=""unit"">
        <span>元/月</span>
      </span>",16天前发布,暂无数据,"<h1 class=""main"">华清园4室2厅，合租，出租主卧，业主靠谱</h1>"
93平米,王玺猛,西市佳园,"<span class=""text"">开发商：西安大唐西市置业有限公司 位置：二环内西工大丰庆公园旁边，55万平米高尚品质住区西市佳园。西市佳园，距钟鼓楼仅3公里，地处城市繁华地带，雄踞高新门户，南依南二环，东接劳动路，西临桃园路，道路四通八达，出行方便快捷，居住安全舒适！
业主说 </span>,<span class=""text"">公园：丰庆公园，唐城墙遗址公园，牡丹庄园等。 医院：高新医院、民航医院 超市：华润万家，永辉超市，卜峰莲花，金鹰，世纪金花 银行：中国银行，建设银行等</span>,<span class=""text"">小区多条公交路线，四通八达，草阳村站、大唐西市站、丰庆路站，锦园小区站等 可以通过43、106、502、503、322、4、211、107多条路线直接到达</span>,<span class=""text"">房子业主搬走不久，，家电家具齐全，很有家的感觉。连烧水的都有。顶楼2800，此房2900.巨划算。业主也是诚心出租。很美好。</span>",高楼层 (共34层),"https://image1.ljcdn.com/610100-inspection/42c8756f-18a1-46bc-a699-e8ed5ba36667.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/c2cac3a3-5071-4dfc-af79-cada691bbdb2.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/2a163ff2-3745-4539-8ca6-d4ce0f228665.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/6200ae49-e7b6-4190-8f70-e898014387e1.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/08a34c07-e791-42fb-ac05-c94889e4ec83.jpg.600x450.jpg,https://image1.ljcdn.com/610100-inspection/4701faff-ca77-4a83-9f09-dbf9b25e2057.jpg.600x450.jpg,https://image1.ljcdn.com/x-se/610100-frame/84daa5d6-e6fa-4324-8b54-ee932781f66a.jpg.600x450.jpg",2室1厅1卫  ,"<div class=""phone"">
              4008599756
                              <span>转</span>
                5500
                          </div>",莲湖,"<span class=""total"">2900</span>,<span class=""unit"">
        <i></i><span>元/月</span>
      </span>",98天前发布,暂无数据,"<h1 class=""main"">西市佳园 精装两居  家具家电齐全 拎包入住</h1>"
